v1,yearq,airline,year,quarter,totalrecords,ontime,cancelled,diverted,aircarrierdelay,extremeweatherdelay,nasdelay,securitydelay,latearrivingaircraftdelay,totaldelay,enplanedpassengers,totalbag,pper1000,flightproblems,oversales,reservation,fares,refunds,baggage,customerservice,disability,advertising,discrimination,animals,other,totalcomplaint,cash,curr_assets,prop_equip,prop_equip_no_tot,assets,curr_liabilities,non_rec_liab,sh_hld_equity,liab_sh_hld_equity,net_income,op_profit_loss,trans_rev_pax,mail,total_property,prop_freight,prop_bag,op_revenues,op_expenses,tdomt_gallons,tdomt_cost,empfte,tot_fly_ops,total_air_hours,air_days_assign,totalpercent,hetero,salaries,landing_fees,revpaxenplaned,revpaxmiles,revtonmiles,avltonmiles,avlseatmiles,revmilesflown,revmilesched,revairhours,airhourramp2ramp,sparsity,grandtotalflights,heterogeneity,lfp,lff,yieldpax,yield_or,fleetutil,avglandingfee,fueleff,lcc,recession,percpita_gdp,percent_gdp,avg_fare,adj_avg_fare,percent_chg_fare,carriercode,occasion,occasioncount,lyield,lLFP,lfleetutil,lfueleff,lpOntime,lmisbagg,ltotaldelay,lcomplaint,lhetero,lavglandfee,lsparsity,ltdomt_cost,lrevpaxenplaned,lempfte,revpaxmileTotal,lMKTshare,OPOR,lyield_mean,lLFP_mean,lfleetutil_mean,lfueleff_mean,lpOntime_mean,lmisbagg_mean,ltotaldelay_mean,lcomplaint_mean,lhetero_mean,lavglandfee_mean,lsparsity_mean,lMKTshare_mean,ltdomt_cost_mean,lrevpaxenplaned_mean,lempfte_mean,lyield_w,lLFPw,lfleetutil_w,lfueleff_w,lpOntime_w,lmisbagg_w,ltotaldelay_w,lcomplaint_w,lhetero_w,lavglandfee_w,lsparsity_w,lMKTshare_w,ltdomt_costw,lrevpaxenplaned_w,lempfte_w,clyield_mean,clLFP_mean,clfleetutil_mean,clfueleff_mean,clpOntime_mean,clmisbagg_mean,cltotaldelay_mean,clcomplaint_mean,clhetero_mean,clavglandfee_mean,clsparsity_mean,clMKTshare_mean,cltdomt_cost_mean,clrevpaxenplaned_mean,clempfte_mean
1,20041,AIRTRAN,2004,1,38027,28522,374,43,1322,49,4234,0,3483,9505,3053172,9319,9.1599998,11,4,3,0,2,6,8,6,0,0,0,2,42,23369.359,508250.88,282074.78,0,876065.81,235487.39,333156.03,307422.41,876065.81,4112.71,10276.28,232665.73,0,145.10001,0,145.10001,241406.83,231130.55,47751153,49069242,16150,118421.95,59.049999,6.6599998,.55555558,.44444445,51003.238,6260.98,2979535,1919922661,191992266,299680800,2804903443,23974464,24002229,59113,74934,.152054,37876,.00080179697,.684488,.64065588,.12118495,.086066,.36943194,165.30203,58.740013,0,0,48633,.37771001,320.23343,463.01181,-.047713615,1,1,40,-2.1104374,-.37908417,-.99578875,4.0731211,-.28762072,2.2148461,9.1595736,3.7376697,-7.128655,5.1077743,-1.8835195,17.708742,14.907278,9.6896753,116258152448,-4.1035285,.042568307,-2.0773172,-.26001126,-.98357624,4.1284389,-.24225728,2.0289955,9.3473701,3.6798499,-1.2251009,5.3300877,-2.1151128,-3.5685983,18.90897,15.433859,9.9910622,-.033120155,-.11907291,-.012212515,-.055317879,-.045363441,.18585062,-.18779659,.057819843,-5.903554,-.2223134,.23159325,-.53493023,-1.2002277,-.52658081,-.30138683,-.055183198,-.043587513,.11612305,-.324873,.0016809305,-.45390591,-.23861764,-.39465234,-.62032026,.052549563,.30554,-.2218677,.041174635,-.17077348,-.51551306
2,20041,SKYWEST,2004,1,107629,85808,2789,177,9551,1688,4000,159,3457,21821,2990554,39268,39.759998,4,0,2,0,0,8,1,0,0,1,0,0,16,70842,674338,900406,0,1591271,152142,490924,747456,1591271,19370,34857,250655,0,0,0,0,253704,218847,38842573,48837513,17731,119690,106.63,17.02,.375,.625,51273,7443,2884614,1165761222,116803524,203108968,1659554990,36795177,36785965,105548,135633,.054659177,105294,.45201775,.70245409,.57507813,.21501401,.15287472,.26104093,70.68779,42.725155,0,0,48633,.37771001,320.23343,463.01181,-.047713615,23,1,64,-1.537052,-.35317522,-1.3430781,3.7547879,-.22657789,3.6828613,9.9906282,2.7725887,-.79403383,4.2582726,-2.9066381,17.70401,14.874902,9.7830696,116258152448,-4.6024389,.1373924,-1.938171,-.2282016,-1.2562724,5.0021067,-.22799358,2.8177874,10.31873,3.5855629,-.43981639,4.0690184,-3.1773868,-3.7470846,18.032272,15.650149,10.270409,.40111899,-.12497362,-.086805701,-1.2473187,.0014156848,.86507392,-.32810211,-.81297421,-.35421744,.18925428,.27074862,-.85535431,-.32826233,-.77524757,-.48733902,.083963014,-.011777855,-.15657315,.54879475,.015944635,.33488598,.73274255,-.48893926,.16496421,-1.2085197,-.75673395,-.40035403,-.83552289,.045517001,-.2361666
3,20041,ALASKA,2004,1,39432,29773,1489,158,2285,174,2180,107,3265,9658,3232999,10256,9.6199999,8,1,3,1,0,9,8,1,1,2,0,3,37,164720,1257752,1776386,22554,3223862,1052570,1062170,672072,3223862,-35630,-49594,387737,4277,14395,12276,2119,441109,490703,78102611,82669793,29686,181030,79.699997,8.9300003,.72222221,.27777779,129705,9440,3256380,3116410009,326823058,588653018,4522745264,34089189,33913544,79231,91689,.10445529,40546,.75967878,.68905276,.55520493,.12441784,.097531252,.37187383,232.82198,57.907734,0,0,48633,.37771001,320.23343,463.01181,-.047713615,2,1,64,-2.0841098,-.37243745,-.98920065,4.0588508,-.28097573,2.2638443,9.1755419,3.6109178,-.27485958,5.450274,-2.258996,18.230366,14.996127,10.29843,116258152448,-3.6191316,-.11243026,-2.0320899,-.20610335,-.9536553,4.2599196,-.20463626,2.3031516,8.8666954,3.2289608,-.34871057,5.8797226,-2.2419901,-3.2006598,19.202356,15.361502,10.358057,-.052019835,-.16633409,-.035545349,-.20106888,-.076339468,-.039307356,.30884647,.38195705,.073850989,-.4294486,-.01700592,-.41847181,-.97199059,-.36537457,-.059626579,-.0099559091,.010320388,.14604399,-.19339229,.03930195,-.1797498,-.7192924,-.84554148,.25607002,.60218447,.17866269,.14607082,.33456108,-.24313065,-.1485182
4,20041,SOUTHWEST,2004,1,241449,200911,3236,433,8685,708,7251,157,20071,40541,18718556,59150,9.5200005,8,1,2,0,0,8,6,5,2,2,0,0,34,-38402,2405250,7683447,0,10281944,2191849,1299325,5133212,10281944,25808,46433,1389852,4411,21620,20908,712,1483986,1437553,287404230,229445225,95617,492296,333.26001,35.419998,.68000001,.31999999,435078,45087,18208783,11820140339,1223199839,2501376753,18422042957,135829591,136745782,332696,387168,.03224384,238589,.58925354,.64163029,.48901063,.11758338,.08055491,.3920337,188.97351,64.098022,1,0,48633,.37771001,320.23343,463.01181,-.047713615,24,1,63,-2.1406076,-.44374302,-.93640751,4.1604137,-.18379624,2.2533948,10.610069,3.5263605,-.52889872,5.2416067,-3.4344282,19.251175,16.717415,11.468106,116258152448,-2.2860084,.03128938,-1.9381496,-.24768832,-.99800581,4.2257662,-.22438076,2.4071965,10.974837,4.4619985,-.73705715,5.7340302,-3.4921861,-1.8572142,20.49897,17.183941,11.724526,-.20245802,-.1960547,.061598301,-.06535244,.04058452,-.15380168,-.36476803,-.93563795,.20815843,-.49242353,.057757854,-.42879415,-1.2477951,-.46652603,-.25642014,.083984472,-.031264581,.10169348,-.22754575,.019557452,-.075704895,1.3888495,.38749626,-.13227655,.45649216,-1.0715333,1.4895164,1.6311748,1.5793085,1.2179512
5,20041,DELTA,2004,1,169964,131199,2753,203,7364,696,19827,35,7887,38765,19703524,108324,16.790001,34,6,34,8,14,44,18,18,0,1,2,25,204,1646915,4791291,13879013,44123,23813842,6488702,17876668,1921398,23813842,-355460,-383903,2523592,16170,56389,44679,11710,2940540,3324443,395328836,367147636,174349,944447,320.25,34.419998,.70833331,.29166666,818570,46017,18759030,16885016201,1819073895,3396637428,23877699024,138329565,139926680,319256,394101,.10831162,167862,.81366009,.70714587,.53555137,.14945748,.12315006,.38767433,274.13589,60.39959,0,0,48633,.37771001,320.23343,463.01181,-.047713615,11,1,64,-1.9007434,-.34651831,-.94758964,4.1009822,-.25887141,2.8207836,10.565273,5.31812,-.20621258,5.6136241,-2.2227428,19.721275,16.747187,12.068814,116258152448,-1.9293866,-.13055527,-1.9633139,-.17911391,-1.0371306,4.2016807,-.20654429,2.3056192,10.351294,5.5749292,-.1888292,5.9221725,-2.31025,-1.8423537,20.599318,16.933538,12.189204,.062570572,-.1674044,.089540958,-.10069847,-.052327111,.51516438,.21397972,-.25680923,-.017383382,-.30854845,.087507248,-.087032914,-.87804222,-.18635178,-.12038994,.058820102,.037309833,.062568694,-.25163129,.037393916,-.17728217,.76530576,1.500427,.4159514,.64463443,.11040274,1.5043769,1.7315223,1.3289061,1.682629
6,20041,AMERICA WEST,2004,1,48487,36047,816,46,3548,98,5374,73,2486,12441,4815644,17665,11.04,28,4,3,2,2,7,3,4,0,1,0,1,55,301987.75,747036.13,561174.44,0,1846010.1,669256,740421.38,386102.88,1846010.1,-7994.0498,8646.9004,509517.88,2331.1299,7087.6299,4541.3799,2546.24,577525.56,568878.69,104185945,107992383,34066,249060.78,131.34,12.01,.72222221,.27777779,122799.84,11706.42,4711135,5101732064,526372384,946823593,7073051614,50004496,50763107,112316,130784,.15290983,47745,.7210598,.72129148,.55593503,.099871553,.081651546,.45566195,245.18631,67.888733,0,0,48633,.37771001,320.23343,463.01181,-.047713615,5,1,8,-2.3038704,-.32671195,-.78600407,4.2178702,-.29647207,2.401525,9.4287529,4.0073333,-.32703319,5.5020185,-1.8779069,18.497572,15.365439,10.436055,116258152448,-3.1262331,.014972325,-2.3248262,-.24273542,-.77618486,4.2047777,-.24373788,2.513176,9.2553806,3.9349771,-.36379141,5.5611277,-1.8824807,-3.1268716,18.863789,15.469208,10.457157,.020955801,-.083976537,-.0098192096,.013092518,-.052734196,-.11165094,.17337227,.072356224,.036758214,-.059109211,.004573822,.00063848495,-.36621666,-.10376835,-.021101952,-.3026922,-.026311673,.32351443,-.24853422,.0002003362,.030274551,-.33060718,-.13952515,.24098919,.28358957,.53817207,.21985899,-.0040066396,-.13542458,-.049418095
7,20041,NORTHWEST,2004,1,124654,95793,1922,203,7430,939,14711,101,3554,28860,10689874,40245,11.42,30,10,14,6,13,23,13,13,1,2,0,14,139,32774,3940345,7374131,337271,18890648,4349806,10521148,3212689,18890648,-112536,-50564,1376155,526,57415,54187,3228,1769869,1820433,255437621,255265247,114975,561990,235.14999,34.02,.44378698,.55621302,478463,43996,10794236,9956630619,1147224006,1985544892,13954049891,98704000,99489404,234119,287255,.10604877,123588,.82612628,.71352983,.577788,.13821493,.12683551,.28800461,355.98926,54.628014,0,0,48633,.37771001,320.23343,463.01181,-.047713615,20,1,24,-1.9789454,-.33753103,-1.2447788,4.0005469,-.26335227,2.4353662,10.270212,4.934474,-.19100764,5.8749003,-2.2438562,19.357813,16.194523,11.65247,116258152448,-2.4575744,-.028569346,-2.025847,-.20002566,-1.2224101,4.0357761,-.27703792,2.4904771,10.080109,4.8545165,-.19896154,5.8787875,-2.252147,-2.5656266,19.830851,16.196928,11.446602,.046901584,-.13750537,-.02236867,-.035229206,.013685644,-.055110931,.19010353,.079957485,.0079538971,-.0038871765,.0082907677,.10805225,-.47303772,-.0024051666,.20586777,-.0037129181,.01639808,-.12271079,-.41753581,-.033099707,.0075756721,.49412084,.78001428,.40581906,.6012494,.16850582,.78110397,.96305537,.59229571,.94002664
8,20041,ATA,2004,1,19640,14938,349,14,839,52,2023,44,1380,4701,2409437,10294,12.99,15,1,3,0,0,5,2,1,0,0,0,0,27,2825.05,332769.31,233958.75,0,823627.44,447694.16,445345.94,-199361.91,823627.44,-70989.5,-38597.398,243649.16,0,0,0,0,260392.66,298990.06,55666788,57145894,20947,152774.09,49.75,4.8899999,.3877551,.6122449,60321.129,7133.9199,2367281,2920001067,301987721,554814921,4389016986,22196650,21900871,49102,57454,.16194074,19416,.60826927,.66529727,.54430354,.083441466,.059328239,.42390934,367.4248,78.844444,0,0,48633,.37771001,320.23343,463.01181,-.047713615,7,1,12,-2.4836099,-.40752131,-.85823566,4.3674769,-.27366,2.5641799,8.4555302,3.2958369,-.49713761,5.9065185,-1.8205248,17.861118,14.677253,9.9497509,116258152448,-3.6842291,-.14822768,-2.4500458,-.33118555,-.88659239,4.3491359,-.26580435,2.6118407,7.7127662,2.6192057,-.56965595,5.7412162,-1.8902135,-4.3396792,17.717676,14.045612,9.4696465,-.033564091,-.076335758,.028356731,.018341064,-.0078556538,-.047660828,.742764,.67663121,.072518349,.16530228,.069688678,.65545011,.14344215,.63164043,.48010445,-.42791179,-.11476181,.2131069,-.10417607,-.021866137,.12893932,-1.8732216,-1.4552965,.035124641,.46367809,.53043932,-.99294865,-1.1501191,-1.55902,-1.0369288
9,20041,HAWAIIAN,2004,1,11674,10454,78,11,626,26,15,12,452,1220,1409166,4643,9.9399996,0,0,0,0,0,0,0,0,0,0,0,0,0,29854.561,246059.17,45361.52,0,369623.13,375346.25,195086.86,-200809.95,369623.13,7460.1299,16214.65,159536.59,9.9899998,6510.4702,5668.73,841.73999,177369.44,161154.78,24672273,24894779,8883,70807.188,15.76,2.24,.55555558,.44444445,37444.898,2302.0901,1404820,1433776647,163758508,283725117,1733295486,7328847,7237168,16006,18875,.27067906,12024,.36502007,.8271969,.57717311,.11127019,.10233075,.29315478,191.45792,70.252769,0,0,48633,.37771001,320.23343,463.01181,-.047713615,16,1,64,-2.1957939,-.18971252,-1.2270546,4.2520995,-.11037946,2.296567,7.106606,,-1.007803,5.2546682,-1.3068215,17.030169,14.155419,9.0918941,116258152448,-4.3955011,.091417387,-1.9896747,-.14304188,-1.2052833,4.2794709,-.08746098,2.089457,7.1815281,2.8884876,-.67200166,5.6783667,-1.341495,-4.1805482,18.067671,14.528169,9.4245348,-.20611918,-.046670645,-.021771312,-.027371407,-.022918485,.20710993,-.074922085,,-.3358013,-.42369843,.034673572,-.21495295,-1.0375023,-.37274933,-.33264065,.032459352,.073381864,-.105584,-.17384101,.15647723,-.39344439,-2.4044597,-1.1860147,-.067221068,.40082857,1.0791577,-.8338176,-.80012441,-1.0764637,-1.0820404
10,20041,US,2004,1,100683,83083,1219,111,3464,219,7204,0,5384,17601,8821272,33803,11.48,16,3,11,4,9,18,12,10,1,3,0,4,91,30452,1817371,2892095,87920,8344323,2587150,5408666,-63979,8344323,-184125,-157626,985499,2369,15218,12029,3189,1428454,1586080,168422000,157362000,79075,409219,201.17,21.73,.81999999,.18000001,316486,26824,8821272,6829880378,700163657,1376168704,9890626823,67752597,68342902,164920,200246,.088406123,99653,.82204056,.69054067,.5087775,.14429228,.14442502,.38573784,269.17404,58.725266,0,0,48633,.37771001,320.23343,463.01181,-.047713615,27,1,41,-1.9359143,-.37028041,-.95259732,4.0728703,-.19213685,2.4406064,9.7757111,4.5108595,-.19596554,5.5953584,-2.4258142,18.87406,15.992677,11.278152,116258152448,-2.834506,-.11034727,-1.993342,-.20615524,-1.051116,4.134016,-.23429155,2.5142708,9.9736452,5.3621802,-.21275288,5.6314526,-2.4605527,-2.6074708,19.832302,16.183376,11.307163,.057427764,-.16412517,.09851867,-.061145782,.0421547,-.073664427,-.19793415,-.85132074,.016787335,-.036094189,.034738541,-.22703528,-.95824242,-.19069958,-.029010773,.028791998,.010268502,.048583299,-.31929591,.0096466588,.031369369,.3876574,1.287678,.39202771,.35391447,-.039899912,.73925984,.96450686,.57874399,.80058801
